bucket,path,clicks,impressions,ctr,position
"School Profiles (/schools/*)","/schools/xotic-barber-academy-austin-03acdbde",0,67,0.00,8.3
"School Profiles (/schools/*)","/schools/the-facial-wellness-society-sugar-land-fbc32fba",0,66,0.00,13.8
"School Profiles (/schools/*)","/schools/odessa-college-odessa-83edec6d",2,65,3.08,13.9
"School Profiles (/schools/*)","/schools/elle-beauty-academy-llc-lakeland-52868c0d",1,65,1.54,9.1
"School Profiles (/schools/*)","/schools/beauty-kulture-academy-desoto-32ec2340",0,65,0.00,8.5
"School Profiles (/schools/*)","/schools/immaculate-cut-barber-institute-fort-worth-tx-fort-worth-536d663c",0,65,0.00,9.7
"School Profiles (/schools/*)","/schools/nuvani-institute-uvalde-uvalde-30c8aa31",0,65,0.00,9.5
"School Profiles (/schools/*)","/schools/texas-beauty-college-haltom-city-d6f9e55a",0,65,0.00,5.5
"School Profiles (/schools/*)","/schools/cut-shave-barber-college-san-antonio-12c422c5",0,64,0.00,10.1
"School Profiles (/schools/*)","/schools/expert-barber-beauty-academy-mc-kinney-953481e8",0,64,0.00,10.1
"School Profiles (/schools/*)","/schools/milan-institute-houston-houston-2b129599",0,64,0.00,9.0
"School Profiles (/schools/*)","/schools/lush-esthetics-institute-llc-lytle-1b8d8af0",1,63,1.59,9.2
"School Profiles (/schools/*)","/schools/empire-hair-institute-clute-107d9ff6",0,63,0.00,6.4
"School Profiles (/schools/*)","/schools/glam-beauty-academy-llc-odessa-2450a32b",0,63,0.00,17.4
"School Profiles (/schools/*)","/schools/meraki-institute-of-beauty-and-wellness-pharr-f7962ebc",0,63,0.00,6.3
"School Profiles (/schools/*)","/schools/royalty-lash-academy-llc-arlington-3f0bf8d0",0,63,0.00,6.9
"School Profiles (/schools/*)","/schools/white-elm-wellness-institute-college-station-59b011d4",0,63,0.00,9.0
"School Profiles (/schools/*)","/schools/empire-beauty-academy-of-paris-texas-paris-bdeafbdd",0,62,0.00,9.9
"School Profiles (/schools/*)","/schools/fademasterz-barber-academy-temple-e97b2e4e",0,62,0.00,9.1
"School Profiles (/schools/*)","/schools/vernon-college-wichita-falls-fe75e1f3",3,61,4.92,7.8
"School Profiles (/schools/*)","/schools/texas-institute-of-nails-esthetics-tyler-9df15f49",2,61,3.28,13.0
