query,clicks,impressions,ctr,position,words
"beauty supply waco tx",0,2,0.00,39.5,4
"braid shops near me",0,2,0.00,3.0,4
"braiding salon near me",0,2,0.00,1.0,4
"cosmetology hours for texas",0,2,0.00,42.5,4
"cosmetology license texas",0,2,0.00,45.0,3
"cosmetology school brownsville tx",0,2,0.00,12.0,4
"curly hair salon near me",0,2,0.00,1.0,5
"esthetician school near me",0,2,0.00,1.0,4
"hair braiding near me",0,2,0.00,4.5,4
"hair salons mckinney",0,2,0.00,1.0,3
"hair store on college",0,2,0.00,4.5,4
"hair store waco",0,2,0.00,10.5,3
"haircut license cost",0,2,0.00,42.5,3
"how much to rent a chair in a barber shop",0,2,0.00,40.5,10
"how to get a barber license in texas",0,2,0.00,29.5,8
"in a beauty salon",0,2,0.00,11.0,4
"me in beauty supply",0,2,0.00,23.5,4
"missouri city nails and lashes",0,2,0.00,8.0,5
"my beauty salon",0,2,0.00,21.5,3
"nail spa eagle pass",0,2,0.00,10.5,4
"salon in the park",0,2,0.00,13.0,4
"salons at the lake",0,2,0.00,10.0,4
"stores near me",0,2,0.00,11.0,3
"texas barber license requirements",0,2,0.00,27.5,4
"texas beauty school",0,2,0.00,1.0,3
"texas cosmetology hours",0,2,0.00,50.5,3
"texas license cosmetology",0,2,0.00,24.5,3
"texas school of cosmetology",0,2,0.00,9.0,4
"the cut barbershop",0,2,0.00,1.5,3
"top esthetician schools in sugar land",0,2,0.00,51.0,6
"when does beauty supply close",0,2,0.00,11.0,5
"when does the beauty supply store open",0,2,0.00,17.0,7
"wigs beaumont tx",0,2,0.00,14.5,3
"wigs near me",0,2,0.00,1.5,3
"asian hair salon near me",1,1,100.00,1.0,5
"beauty school katy",1,1,100.00,9.0,3
"braid shops near me now",1,1,100.00,10.0,5
"brow tint and lamination",1,1,100.00,1.0,4
"hair school salon near me",1,1,100.00,1.0,5
"nail academy near me",1,1,100.00,1.0,4
"a and a salon",0,1,0.00,5.0,4
"academy barber college",0,1,0.00,7.0,3
"academy barber school",0,1,0.00,11.0,3
"academy barber shop",0,1,0.00,1.0,3
"amarillo cosmetology school",0,1,0.00,12.0,3
"amarillo cosmetology schools",0,1,0.00,24.0,3
"an hair salon",0,1,0.00,69.0,3
"asian barber near me",0,1,0.00,1.0,4
"asian hair salon",0,1,0.00,1.0,3
"asian hair salons near me",0,1,0.00,8.0,5
"austin the barber",0,1,0.00,3.0,3
"barber & beauty supply",0,1,0.00,52.0,3
"barber academy near me",0,1,0.00,7.0,4
"barber and beauty academy",0,1,0.00,9.0,4
"barber and cosmetology school",0,1,0.00,1.0,4
"barber around me",0,1,0.00,1.0,3
