path,clicks,impressions,ctr,position
"/stores/cc-beauty-supply-houston-77057-f172302c",0,187,0.00,7.1
"/schools/aveda-arts-sciences-institute-austin-austin-1f687500",0,186,0.00,10.7
"/salons/perfection-beauty-hair-studio-llc-houston-4a88d25b",0,185,0.00,8.8
"/salons/stylo-s-hair-salon-houston-c2d2e6a3",0,185,0.00,6.1
"/salons/bliss-nail-bar-college-station-college-station-8c9578fe",0,184,0.00,8.8
"/salons/immerse-studio-houston-7c146a6e",0,184,0.00,7.3
"/stores/ulta-beauty-houston-77058-f9c3e64e",0,183,0.00,9.3
"/stores/ej-beauty-supply-7-houston-77092-f9dd323c",0,182,0.00,7.9
"/salons/moroccan-beauty-center-houston-b04092c9",0,181,0.00,8.3
"/salons/supercuts-houston-a0c498fe",0,181,0.00,7.6
"/salons/v-salon-spa-houston-4c11d304",0,181,0.00,5.0
"/salons/beleza-hair-studio-houston-a5b7cb4e",0,180,0.00,8.8
"/salons/marie-and-esther-beauty-salon-houston-a7fc5c9d",1,176,0.57,5.9
"/salons/eliana-s-salon-houston-2416eee9",0,176,0.00,10.3
"/salons/maharanis-beauty-salon-houston-e3c2c16a",0,176,0.00,5.1
"/salons/salon-park-dairy-ashford-houston-fbdba833",0,176,0.00,7.7
"/salons/inas-threading-and-beauty-houston-41e2772d",0,175,0.00,4.3
"/salons/kelly-s-house-of-colour-houston-194eb99b",0,173,0.00,8.9
"/salons/madison-reed-hair-color-bar-rice-village-houston-d789d731",0,171,0.00,11.9
"/salons/beautiful-life-hair-salon-houston-7cb7ce40",0,170,0.00,6.8
"/salons/d-dominican-beauty-salon-houston-db944721",0,170,0.00,9.1
"/salons/ely-s-beauty-salon-houston-6f754b51",0,169,0.00,10.1
"/salons/riot-salon-houston-0517a36a",0,169,0.00,8.6
"/stores/she-s-happy-hair-houston-77054-4e2a6394",0,169,0.00,14.4
"/stores/hello-beauty-houston-77094-aaca3aee",2,167,1.20,3.0
"/schools/ogle-school-beauty-and-cosmetology-houston-stafford-katy-5cd766c1",0,167,0.00,9.0
"/salons/eva-beauty-salon-houston-56c22c47",0,166,0.00,8.4
"/salons/glamour-beauty-salon-houston-8db31d74",0,166,0.00,10.2
"/salons/la-belle-vie-nail-spa-houston-4fcf24ff",0,166,0.00,9.6
"/salons/salon-per-se-heights-houston-409f0a57",0,166,0.00,9.8
"/salons/vella-bella-salon-park-nail-spa-houston-f8ace405",0,166,0.00,10.1
"/salons/la-beaute-nails-spa-houston-7f3db5ca",0,165,0.00,8.5
"/salons/supercuts-houston-2afcd016",0,165,0.00,13.7
"/stores/beauty-empire-5-houston-77093-c9948370",0,165,0.00,11.5
"/salons/margaritas-hair-salon-houston-a6f9fcf3",0,164,0.00,5.8
"/salons/modern-salon-houston-9f040960",0,163,0.00,8.6
"/salons/bich-nga-hair-design-houston-7a35fec1",0,162,0.00,4.9
"/stores/sally-beauty-houston-77032-46941965",0,162,0.00,9.8
"/salons/makeover-beauty-salon-barber-shop-houston-065bf8d1",2,161,1.24,8.1
"/stores/hair-beauty-supply-houston-77086-0311d65a",1,161,0.62,34.4
"/salons/kary-s-hair-salon-houston-d423746d",0,161,0.00,7.0
"/schools/milan-institute-of-cosmetology-denton-63613bcd",0,161,0.00,9.8
"/stores/supreme-beauty-supply-houston-77093-0ec7a619",0,161,0.00,10.4
"/schools/south-plains-college-levelland-a9accca2",3,160,1.88,8.7
"/salons/ln-beauty-express-sugar-land-da18aa61",0,160,0.00,6.6
"/schools/milan-institute-of-cosmetology-plano-dfc02942",0,160,0.00,10.2
"/stores/princess-beauty-supply-houston-77081-3aacb1fd",0,160,0.00,8.4
"/salons/bel-hair-salon-houston-504b0e36",0,159,0.00,10.3
"/stores/uptown-beauty-and-beyond-houston-77075-7c5d336f",2,158,1.27,12.5
"/schools/ogle-school-beauty-and-cosmetology-north-houston-willowbrook-houston-fe676980",1,158,0.63,9.6
"/stores/aesop-montrose-houston-77006-4d9ab626",1,158,0.63,5.1
"/salons/tony-s-salon-houston-daced922",0,158,0.00,7.0
"/schools/avenue-five-institute-austin-724cee6e",0,157,0.00,13.2
"/salons/therapy-hair-studio-houston-0d0f4d22",0,156,0.00,12.2
"/salons/signature-brows-beauty-studio-houston-67a3fba3",0,154,0.00,9.9
"/schools/enstyle-beauty-academy-houston-05f8df2c",0,154,0.00,4.9
"/schools/williams-barber-college-fort-worth-9254819c",0,154,0.00,8.9
"/salons/alejandra-s-beauty-houston-bb8f005f",1,153,0.65,7.4
"/salons/hair-by-javier-houston-8f6cbb03",0,153,0.00,6.5
"/salons/natural-resources-salon-houston-1b0d362b",0,153,0.00,4.3
"/salons/prism-salon-houston-f52629e6",0,152,0.00,7.1
"/salons/nancy-s-hair-nails-houston-9ab53d16",0,151,0.00,8.8
"/salons/beauty-sal-n-lily-houston-68363e8b",0,150,0.00,8.0
"/salons/cindy-s-beauty-salon-houston-37afa640",0,150,0.00,9.2
"/salons/360-pro-beauty-houston-ea88c63b",2,149,1.34,8.6
"/salons/salon-vivid-houston-bdf04e88",0,149,0.00,8.0
"/schools/mei-barber-school-brownsville-2c88e548",0,149,0.00,7.0
"/stores/beauty-empire-16-houston-77099-ec14c304",0,149,0.00,13.8
"/salons/carbon-salon-llc-conroe-44677270",0,148,0.00,6.4
"/salons/elegance-hair-salon-arabic-barber-shop-houston-bcfa0baa",0,148,0.00,5.2
"/salons/luxy-hair-salon-houston-b6d52f48",0,148,0.00,5.8
"/schools/jackson-barber-college-houston-5de20baa",0,148,0.00,7.7
"/salons/7-qi-ao-salon-houston-60a83e32",1,147,0.68,7.9
"/salons/beauty-express-houston-b3ead092",0,147,0.00,7.4
"/salons/salon-victoria-makeup-and-hair-lounge-houston-754612bb",0,147,0.00,10.1
"/stores/buw-human-hair-factory-store-houston-east-houston-77029-b98fb97f",0,147,0.00,12.0
"/stores/beauty-empire-number-22-houston-77073-0d489948",1,146,0.68,4.5
"/salons/genova-nail-spa-sugar-land-sugar-land-9ce0da13",0,146,0.00,9.3
"/schools/career-schools-of-texas-dallas-3e1e292a",0,146,0.00,8.2
"/salons/drybar-uptown-park-houston-caeef57c",0,145,0.00,12.3
"/salons/em-lash-studio-houston-8751faf7",0,145,0.00,11.1
"/salons/lotus-threading-houston-f18aa6da",0,145,0.00,6.3
"/stores/q-beauty-supply-houston-77098-e5588b1a",0,145,0.00,8.8
"/salons/q-salon-1-houston-eabc6b6e",0,144,0.00,4.8
"/schools/capelli-beauty-and-barber-college-el-paso-80cbdd3b",0,144,0.00,10.6
"/stores/beauty-empire-premium-outlet-beauty-supply-store-houston-77099-49b88781",0,144,0.00,13.6
"/stores/wig-world-beauty-supply-houston-77093-f9b19a7f",0,144,0.00,8.4
"/salons/kajal-beauty-salon-spa-houston-21db08f5",0,143,0.00,5.9
"/salons/newlooks-salon-sugar-land-e62630e2",0,143,0.00,7.7
"/salons/the-color-bar-river-oaks-houston-6e0f5090",0,142,0.00,10.7
"/stores/j-s-beauty-supply-houston-77091-429ef177",0,142,0.00,7.8
"/salons/new-estilo-hair-studio-houston-21745041",0,141,0.00,7.3
"/salons/kosmo-salon-corpus-christi-3b451e0a",0,140,0.00,8.2
"/schools/the-pulse-academy-llc-pittsburg-7b841a18",0,140,0.00,5.1
"/stores/hair-depot-beauty-supply-beaumont-ba5ccd2e",0,139,0.00,4.0
"/salons/salon-village-houston-2b2027ed",1,138,0.72,6.7
"/salons/ct-hair-by-candy-houston-2393ca49",0,138,0.00,7.6
"/schools/next-top-barber-academy-laredo-3801a80e",0,138,0.00,8.4
"/salons/blow-out-salon-and-spa-houston-c01e1c07",0,136,0.00,6.7
"/salons/the-upper-hand-salon-river-oaks-houston-cb7c4e47",0,136,0.00,13.5
"/schools/the-salon-professional-academy-georgetown-9ccc3926",0,136,0.00,9.0
"/stores/sally-beauty-houston-77094-9551c9fe",0,136,0.00,10.5
"/stores/uptown-beauty-and-beyond-houston-77099-1b16fe65",0,135,0.00,15.1
"/stores/beauty-empire-o-c-houston-77095-459a7676",1,134,0.75,7.8
"/salons/144-salon-sugar-land-8e0b2586",0,134,0.00,6.9
