bucket,name,city,target_table,licenses
"seed","ACADEMY FOR SALON PROFESSIONALS","NORTHRIDGE","agent_cosmetology_school_leads","barber:4/6; cosmetology:6/8"
"seed","ACADEMY OF BEAUTY","CULVER CITY","agent_cosmetology_school_leads","barber:0/2; esthetics:2/2"
"seed","ADRIAN'S BEAUTY COLLEGE OF TURLOCK","TURLOCK","agent_barber_school_leads","barber:1/1"
"seed","ADVANCE BEAUTY COLLEGE","GARDEN GROVE","agent_cosmetology_school_leads","barber:15/24; esthetics:42/55"
"seed","ADVANCE BEAUTY TECHS ACADEMY","CORONA","agent_cosmetology_school_leads","barber:2/4; esthetics:5/7"
"seed","ALVA BEAUTY COLLECTIVE","LEMON GROVE","agent_cosmetology_school_leads","barber:7/8; esthetics:9/16"
"seed","AMERICAN BEAUTY ACADEMY","BRAWLEY","agent_cosmetology_school_leads","barber:0/1; esthetics:9/12"
"seed","AMERICAN BEAUTY ACADEMY","PANORAMA CITY","agent_cosmetology_school_leads","barber:2/6; esthetics:10/24"
"seed","AMERICAN BEAUTY COLLEGE","PALMDALE","agent_cosmetology_school_leads","barber:2/7; esthetics:13/15"
"seed","AMERICAN BEAUTY COLLEGE","WEST COVINA","agent_cosmetology_school_leads","barber:1/4; esthetics:4/4"
"seed","AMERICAN EMPIRE COLLEGE","ROSEMEAD","agent_cosmetology_school_leads","barber:4/9; esthetics:3/11"
"seed","AMY BEAUTY SCHOOL","CORONA","agent_cosmetology_school_leads","barber:0/1; esthetics:17/21"
"seed","ASEL BEAUTY COLLEGE","GARDEN GROVE","agent_cosmetology_school_leads","barber:6/11; esthetics:6/7"
"seed","ASIAN-AMERICAN INTERNATIONAL BEAUTY COLL","WESTMINSTER","agent_cosmetology_school_leads","barber:30/35; esthetics:44/67"
"seed","ASSOCIATED BARBER COLLEGE OF SAN DIEGO","SAN DIEGO","agent_barber_school_leads","barber:1/1"
"seed","BALDWIN PARK ADULT & COMMUNITY EDUCATION","BALDWIN PARK","agent_barber_school_leads","barber:2/4"
"seed","BAMBOO ADVANCE BEAUTY COLLEGE","SAN LEANDRO","agent_cosmetology_school_leads","barber:0/1; esthetics:5/7"
"seed","BARSTOW COMMUNITY COLLEGE","BARSTOW","agent_barber_school_leads","barber:1/1"
"seed","BELLUS ACADEMY","CHULA VISTA","agent_cosmetology_school_leads","barber:14/23; esthetics:32/39"
"seed","BELLUS ACADEMY","EL CAJON","agent_cosmetology_school_leads","barber:5/8; esthetics:10/13"
"seed","BELLUS ACADEMY","POWAY","agent_cosmetology_school_leads","barber:20/22; esthetics:30/38"
"seed","COBA ACADEMY","ANAHEIM","agent_cosmetology_school_leads","esthetics:0/2; cosmetology:2/4"
"seed","BEYOND 21ST CENTURY BEAUTY ACADEMY","SANTA FE SPRINGS","agent_cosmetology_school_leads","barber:3/4; esthetics:4/5; manicuring:8/12"
"seed","BRIDGES BEAUTY COLLEGE","VICTORVILLE","agent_cosmetology_school_leads","barber:1/2; esthetics:4/4; manicuring:1/1"
"seed","BUTTE COMMUNITY COLLEGE","OROVILLE","agent_cosmetology_school_leads","cosmetology:2/2"
"seed","CALIFORNIA BEAUTY ACADEMY","ORANGE","agent_cosmetology_school_leads","cosmetology:6/7; esthetics:7/8; manicuring:7/9"
"seed","CALIFORNIA COLLEGE OF BARBERING AND COSM","STOCKTON","agent_cosmetology_school_leads","cosmetology:9/12; esthetics:6/8; manicuring:6/7"
"seed","CALIFORNIA COSMETOLOGY ACADEMY","SEASIDE","agent_cosmetology_school_leads","cosmetology:0/1; esthetics:2/2"
"seed","CALIFORNIA HAIR DESIGN ACADEMY","LA MESA","agent_cosmetology_school_leads","cosmetology:5/6; esthetics:3/7"
"seed","CAMPUS","SACRAMENTO","agent_cosmetology_school_leads","cosmetology:12/17"
"seed","CAREER ACADEMY OF BEAUTY","GARDEN GROVE","agent_cosmetology_school_leads","cosmetology:14/17; esthetics:15/19"
"seed","CENTRAL SIERRA ROP SCHOOL OF COSMETOLOGY","EL DORADO","agent_cosmetology_school_leads","cosmetology:6/7"
"seed","CERRITOS COMMUNITY COLLEGE, COSMETOLOGY","NORWALK","agent_cosmetology_school_leads","cosmetology:3/3; esthetics:17/20"
"seed","CINTA AVEDA INSTITUTE SAN JOSE","SAN JOSE","agent_cosmetology_school_leads","cosmetology:1/2; esthetics:5/6"
"seed","CITRUS COLLEGE, COSMETOLOGY DEPARTMENT","GLENDORA","agent_cosmetology_school_leads","cosmetology:25/28; esthetics:15/15"
"seed","CITRUS HEIGHTS BEAUTY COLLEGE","CITRUS HEIGHTS","agent_cosmetology_school_leads","cosmetology:7/10; esthetics:4/5; manicuring:7/8"
"seed","COASTLINE BEAUTY COLLEGE","FOUNTAIN VALLEY","agent_cosmetology_school_leads","cosmetology:7/11; esthetics:3/3; manicuring:12/15"
"seed","COASTLINE BEAUTY COLLEGE","HEMET","agent_cosmetology_school_leads","cosmetology:1/1; esthetics:3/5; manicuring:7/8"
"seed","COLLEGE OF SAN MATEO, COSMETOLOGY DEPART","SAN MATEO","agent_cosmetology_school_leads","cosmetology:10/12"
"seed","COMPTON COLLEGE","COMPTON","agent_cosmetology_school_leads","cosmetology:2/5"
"seed","CONSTILO ACADEMY","PITTSBURG","agent_cosmetology_school_leads","cosmetology:2/2"
"seed","COSMETICA BEAUTY AND BARBERING ACADEMY","DOWNEY","agent_cosmetology_school_leads","cosmetology:2/4; esthetics:2/7; manicuring:1/2"
"seed","COSMO BEAUTY COLLEGE","GARDEN GROVE","agent_cosmetology_school_leads","cosmetology:1/1; esthetics:6/6; manicuring:13/14"
"seed","COSMOTEK COLLEGE","HAYWARD","agent_cosmetology_school_leads","cosmetology:3/5; esthetics:13/15; manicuring:12/17"
"seed","COSMOTEK COLLEGE","SAN JOSE","agent_cosmetology_school_leads","cosmetology:6/11; esthetics:11/15; manicuring:15/29"
"seed","D'LACREME SCHOOL OF COSMETOLOGY AND BARBERING","FAIRFIELD","agent_cosmetology_school_leads","cosmetology:1/1; esthetics:2/3"
