Institution ID,School Name,City,Zip,Website,Student Body Size,Cost of Attendance,Completion Rate,1-Year Median Earnings,3-Year Default Rate,Pell Grant Rate,Federal Loan Rate,Median Student Debt,% Male,% Female,% Black,% Hispanic,% White
480125,Ogle School Hair Skin Nails-San Antonio,San Antonio,78216,www.ogleschool.edu/,466,15700,0.7077,19689,0,0.6571,0.5419,7917,0.03,0.97,0.1137,0.6009,0.206
482200,Cosmetology Academy of Texarkana,Texarkana,75503,cosmetologyacademyoftexarkana.com/,28,12500,0.5833,16005,0,0.6585,0.5366,10637,0.1429,0.8571,0.1786,0.0357,0.7857
482981,Alamo City Barber College,San Antonio,78250-3227,www.alamocitybarbercollege.com/,114,10775,0.5652,13654,0,0.8249,0.6732,6937,0.7982,0.2018,0.2018,0.7105,0.0526
483513,Neecee's Barber College,Abilene,79602,neeceescollege.com/,32,13390,0.3611,13263,0,0.7167,0.7167,10667,0.8125,0.1875,0.3438,0.5625,0.0938
483559,Bella Cosmetology and Barber College,Greenville,75402,bellacollege.com/,57,15600,0.492,11234,0,0.5667,0.5833,10667,0.0526,0.9474,0.2105,0.2105,0.5614
483735,Total Transformation Institute of Cosmetology,San Marcos,78666-8115,ttioc.edu/,112,14422,0.75,19327,0,0.6125,0.6938,7917,0.0893,0.9107,0.0804,0.5179,0.3214
484136,Yahweh Beauty Academy,Killeen,76543-4153,www.yahwehbeautyacademy.com/,29,6700,0.6271,12410,N/A,0.1833,0,N/A,0.3793,0.6207,0.8966,0.069,0.0345
484604,Ogle School Hair Skin Nails-Stafford,Stafford,77477,ogleschool.edu/,550,15700,0.6801,18860,0,0.6944,0.6091,7917,0.02,0.98,0.5291,0.2982,0.0873
485874,Salon Boutique Academy,Addison,75001-4399,www.salonboutiqueacademy.com/,200,11850,0.8857,22739,0,0.3789,0.3975,7917,0.01,0.99,0.345,0.465,0.155
485926,GA Beauty & Barber School,McAllen,78501-3309,www.gabeautybarber.com/,171,9250,0.5187,N/A,0,0.3717,0.2138,2783,0.3333,0.6667,0,0.9883,0.0117
486503,Laredo CHI Academy Beauty School,Laredo,78041-6540,www.laredochi.com/,54,8311,0.8,11623,N/A,0.7257,0,N/A,0.037,0.963,0,1,0
487065,Wade Gordon Hairdressing Academy-Lubbock,Lubbock,79423-2125,wadegordonacademy.com/,96,11600,0.597,20071,0,0.7603,0.7329,9833,0.3125,0.6875,0.1146,0.5417,0.2917
487232,Texas College of Cosmetology-Lubbock,Lubbock,79414-2532,www.texascollegecosmetology.com/,54,13250,0.7668,17331,0,0.5723,0.5723,6333,0,1,0.037,0.6296,0.2593
488110,Natural Images Beauty College,Clute,77531-3603,natural-images-bc.com/,75,16000,0.4085,13863,0,0.2455,0.2364,7917,0.16,0.84,0.0667,0.3867,0.4933
488299,Mission Beauty Institute,Mission,78572-4404,missionbeautyinstitute.wordpress.com/,11,6250,0.5278,14650,0,0.7931,0.3966,N/A,0.1818,0.8182,0,1,0
490522,Allgood Beauty Institute,Frisco,75034,allgoodbeauty.com/,30,10950,0.7576,N/A,0,0.8,0.7,N/A,0,1,0.4333,0.1667,0.3333
490674,Manuel and Theresa's School of Hair Design,Brenham,77833-3033,www.manuelandtheresasschoolofhair.com/,8,15000,N/A,20692,0,0.7143,0.7143,7924,0.125,0.875,0.125,0.125,0.75
491066,Strand Institute of Beauty & Esthetics,Corpus Christi,78409,thestrandinstitute.edu/,65,14025,0.9048,15522,0,0.4018,0.4286,7917,0.0308,0.9692,0,0.4,0.2154
491589,Mystros Barber Academy,Houston,77090,https://mystrosbarberacademy.org/,50,15000,N/A,N/A,0,0.4815,0.463,N/A,0.84,0.16,0.82,0.1,0.08
491835,Salon Professional Academy of San Antonio,San Antonio,78232-2242,www.tspasanantonio.com/,94,17525,0.8438,14594,0,0.6258,0.7301,7917,0.0426,0.9574,0.1596,0.234,0.3404
491996,The Salon Professional Academy-Georgetown,Georgetown,78626-5470,www.tspageorgetown.com/,79,17125,0.6207,18923,0,0.3246,0.4474,N/A,0.0253,0.9747,0.0127,0.2785,0.6582
493743,Houston Barber School,Houston,77073-4400,www.htxbarberschool.com/,264,14000,0.9212,15383,0,0.8019,0.6317,10667,0.7197,0.2803,0.7424,0.2083,0.0265
493804,Deluxe Barber College,San Antonio,78217-2118,www.deluxebarbercollege.com/,94,12100,0.629,N/A,0,0.6491,0.6433,6500,0.8404,0.1596,0.4574,0.5106,0
494472,Evvaylois Academy School of Beauty,Brenham,77833,https://www.evvayloisschoolofbeauty.com/,14,11800,N/A,N/A,0,0.7,0.65,N/A,0.0714,0.9286,0.2857,0.4286,0.2143
494719,Tonsorial Arts Barber College,Texarkana,75501-3264,https://www.tonsorialartsbarbercollege.com/,170,12500,0.6122,N/A,0,0.8903,0.8819,10667,0.4529,0.5471,0.7824,0.0588,0.1118
494728,Michael's Barber & Hair Stylist Academy,Irving,75062-6016,barberstylistacademy.com/,42,15185,0.4655,N/A,N/A,0.7703,0.8514,N/A,0.7143,0.2857,0.6429,0.2619,0.0714
495244,Pearlands Innovative School of Beauty,Pearland,77584-7891,www.pearlandinnovative.com/,69,15000,1,N/A,0,0.8155,0.767,N/A,0.087,0.913,0.5072,0.3043,0.1739
495305,The Professional Cosmetology Academy,Laredo,78041-5930,https://www.tpcalaredo.com/,146,8850,0.7234,N/A,N/A,0.7208,0.6904,N/A,0.137,0.863,0,0.9863,0.0068
497073,Ogle School Hair Skin Nails-Willowbrook,Houston,77070-5656,https://ogleschool.edu/,481,15700,0.7049,18860,0,0.7115,0.6083,7917,0.0333,0.9667,0.499,0.2744,0.1268
497204,Mei Barber School,Brownsville,78520-5472,https://www.meibarberschool.com/,91,11075,0.7568,N/A,N/A,0.7583,0.1167,N/A,0.7912,0.2088,0,0.989,0
497356,Barber Education Academy,Laredo,78041-6039,https://thebarbereducation.com/,37,9125,N/A,N/A,N/A,0.6892,0,N/A,0.6486,0.3514,0,1,0
497365,Legends Barber College,Lufkin,75904-3105,https://www.legends-barber-college.com/,26,12625,0.5,N/A,N/A,0.5357,0.5893,N/A,0.7692,0.2308,0.5,0.3077,0.1538
497383,Barbers Trade School,Beaumont,77701-3308,https://www.barbersinctx.com/,9,14000,N/A,N/A,N/A,1,1,N/A,0.8889,0.1111,0.3333,0.2222,0.4444
497392,Top of the Line Barber School,San Antonio,78218-2109,https://totlbarberschool.org/,86,16000,N/A,N/A,N/A,0.7875,0.7625,N/A,0.8256,0.1744,0.3837,0.5465,0.0581
498410,Premier Barber School,Houston,77088-2518,https://www.premierbarberschool.com/,45,12685,0.7917,N/A,N/A,0.5714,0.4405,N/A,0.8444,0.1556,0.7111,0.2889,0
498890,East Texas Cosmetology College,Lufkin,75904-7137,https://www.easttxcc.com/,51,14595,0.74,N/A,N/A,0.3788,0.1515,N/A,0,1,0.0196,0.0784,0.7647
499079,Collectiv Hair Dressing Academy-Collectiv Academy-Dallas,Dallas,75248-4073,https://collectivacademy.com/,319,10255,N/A,18106,0,0.6196,0.7229,10540,0.0188,0.9812,0.1661,0.2414,0.3699
499927,South Post Oak Barber College,Houston,77045-5249,https://southpostoakbarbercollege.com/,10,12000,N/A,N/A,N/A,0,0,N/A,0.8,0.2,0.6,0.4,0
499945,Brighton Barber Institute,Hurst,76054-3058,https://brightonbarber.com/,17,15175,N/A,N/A,N/A,0.2692,0.1538,N/A,0.8235,0.1765,0.5294,0.1765,0.2353
500324,UCAS University of Cosmetology Arts & Sciences - 03,Brownsville,78521-1462,https://www.ucastx.com/,24,12650,N/A,13830,0,0.3929,0.1964,6447,0,1,0,0.9583,0
500421,Epic Barber College,Houston,77015-2800,https://www.epicbarbercollege.com/,62,10189,0.129,N/A,N/A,0,0,N/A,0.7903,0.2097,0.0806,0.9032,0.0161
