page,clicks,impressions,ctr_pct,position
"https://agency.innergcomplete.com/salons/la-perla-dominican-salon-houston-ba4659a3",2,100,2.00,6.0
"https://agency.innergcomplete.com/salons/letty-s-hair-design-houston-3c361714",2,77,2.60,5.4
"https://agency.innergcomplete.com/salons/maha-s-threading-salon-1-jones-rd-houston-b65388b6",2,358,0.56,4.5
"https://agency.innergcomplete.com/salons/maise-salon-suites-fort-worth-4e155364",2,131,1.53,6.3
"https://agency.innergcomplete.com/salons/makeover-beauty-salon-barber-shop-houston-065bf8d1",2,173,1.16,8.7
"https://agency.innergcomplete.com/salons/milybrows-aesthetic-spa-houston-371a99cf",2,19,10.53,12.6
"https://agency.innergcomplete.com/salons/mirha-threading-salon-houston-d83fd67f",2,98,2.04,5.8
"https://agency.innergcomplete.com/salons/modern-salon-houston-95e4d889",2,244,0.82,8.8
"https://agency.innergcomplete.com/salons/much-and-more-houston-361853f7",2,35,5.71,4.5
"https://agency.innergcomplete.com/salons/palace-beauty-pflugerville-972f9cd0",2,14,14.29,4.5
"https://agency.innergcomplete.com/salons/phenix-salon-suites-west-university-houston-b6758c79",2,32,6.25,17.6
"https://agency.innergcomplete.com/salons/pixie-ivy-hair-studio-pearland-819fb992",2,15,13.33,4.5
"https://agency.innergcomplete.com/salons/raquel-s-hair-salon-houston-bcafedff",2,111,1.80,6.8
"https://agency.innergcomplete.com/salons/romy-s-hair-studio-garland-a92aee03",2,50,4.00,6.5
"https://agency.innergcomplete.com/salons/rooted-legacy-barber-salon-houston-00efacae",2,32,6.25,5.8
"https://agency.innergcomplete.com/salons/ruby-s-salon-spa-west-bellfort-houston-f5092a10",2,151,1.32,7.4
"https://agency.innergcomplete.com/salons/rumoured-salon-frisco-fc2d1537",2,473,0.42,6.1
"https://agency.innergcomplete.com/salons/saint-rose-houston-643207c4",2,518,0.39,8.3
"https://agency.innergcomplete.com/salons/salon-express-i-houston-b1a03042",2,142,1.41,11.4
"https://agency.innergcomplete.com/salons/salon-picasso-studios-houston-ef6aa36d",2,97,2.06,6.1
"https://agency.innergcomplete.com/salons/san-luis-hair-salon-houston-1bbfe424",2,119,1.68,5.4
"https://agency.innergcomplete.com/salons/saul-hair-studio-houston-4fc9b1a8",2,80,2.50,5.6
"https://agency.innergcomplete.com/salons/studio-10-hair-design-houston-23c74766",2,86,2.33,13.7
"https://agency.innergcomplete.com/salons/studio-nine-salon-suites-houston-55fdac8d",2,232,0.86,7.3
"https://agency.innergcomplete.com/salons/sweet-rosi-beauty-salon-houston-2c493c2d",2,55,3.64,4.5
"https://agency.innergcomplete.com/salons/the-hair-magician-austin-fe4a8ea1",2,87,2.30,6.5
"https://agency.innergcomplete.com/salons/top-hair-salon-houston-704122fc",2,65,3.08,7.7
"https://agency.innergcomplete.com/salons/touch-of-heaven-hair-artistry-humble-c320f54e",2,109,1.83,8.3
"https://agency.innergcomplete.com/salons/yazmin-s-hair-salon-barbershop-mckinney-b7cc5553",2,142,1.41,6.0
"https://agency.innergcomplete.com/salons/zeeba-salon-houston-7f7061b8",2,307,0.65,4.3
"https://agency.innergcomplete.com/schools/a-plus-beauty-academy-llc-garland-405d8a19",2,37,5.41,9.9
"https://agency.innergcomplete.com/schools/abilene-high-school-abilene-a56dc1d4",2,11,18.18,16.5
"https://agency.innergcomplete.com/schools/academy-of-hair-design-jasper-194e2082",2,63,3.17,9.9
